,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MON_AVG_PURCHASE,MON_AVG_CA_AMT,LIMIT_USAGE,PAYMENT_RATIO
BALANCE,1.0,0.3364729869970732,0.16569749408796797,0.15508194168245398,0.09337232482806843,0.541226340566141,-0.08719259111996958,0.07079569469313923,-0.07201011038169941,0.46363690414915015,0.44576636999951613,0.13331905965863272,0.5289411136320527,0.3447438498458463,0.5876683467418435,-0.3316181149324615,0.07412173204196637,0.1634509583499939,0.5094616075053885,0.5641660877360662,-0.1446587642322122
BALANCE_FREQUENCY,0.3364729869970732,1.0,0.17051528785429204,0.13789342607972724,0.15373385704696418,0.10778510166222353,0.2328903800576892,0.20284524280301214,0.17947181806673346,0.19389350345039028,0.16281793076557088,0.21260960088910658,0.09832103728608052,0.09249095691862844,0.2082787003542697,-0.09803960647806721,0.1215253123116721,0.1661180516335649,0.09045551605580335,0.447094942175017,-0.16568364870629332
PURCHASES,0.16569749408796797,0.17051528785429204,1.0,0.8857932041071959,0.7087354856739971,-0.09116404127505381,0.5042183161017219,0.608350738393543,0.4008433752887963,-0.14941938477425795,-0.0994972929949186,0.780817457302739,0.3674516069646602,0.5362703267587133,0.13145542762477588,0.20288661156922036,0.10726260730559808,0.9925424123306814,-0.09417754437401062,-0.08814034029284837,0.1757490650744222
ONEOFF_PURCHASES,0.15508194168245398,0.13789342607972724,0.8857932041071959,1.0,0.33380850479985164,-0.06419506298113356,0.34988350017763764,0.6838189713547664,0.1588920294540325,-0.10304603648443394,-0.06759278443085528,0.6307347561662217,0.3426476566138019,0.4824180428427142,0.06424784159928096,0.1459806023697476,0.08037838327385627,0.8819781523084522,-0.06640253210087657,-0.0698226199948128,0.1643732196856813
INSTALLMENTS_PURCHASES,0.09337232482806843,0.15373385704696418,0.7087354856739971,0.33380850479985164,1.0,-0.10205174533615761,0.5516925209170517,0.2482395091614091,0.6344997378499939,-0.16239686584595925,-0.11138702901125559,0.6875377887627392,0.2399485562694068,0.36988576421486286,0.14856125181417718,0.21504830066641334,0.10330959433828353,0.7005983706477169,-0.1045803476528343,-0.08925383823999297,0.11972996462385486
CASH_ADVANCE,0.541226340566141,0.10778510166222353,-0.09116404127505381,-0.06419506298113356,-0.10205174533615761,1.0,-0.2498346088897516,-0.10495421648073879,-0.2073945806680797,0.6834004761840231,0.7103089178788706,-0.11261318408082174,0.3143813247961535,0.4255171153759468,0.2571434163487314,-0.17906778087971495,-0.08348456475193615,-0.08492703859488367,0.972028999301756,0.25437440790927957,0.031784776015206836
PURCHASES_FREQUENCY,-0.08719259111996958,0.2328903800576892,0.5042183161017219,0.34988350017763764,0.5516925209170517,-0.2498346088897516,1.0,0.5013431351216463,0.8629336372699634,-0.31249250111242954,-0.23839464918595987,0.6422343952045695,0.11960293068962392,0.12089748158533907,0.0010425753808529059,0.30580235388719407,0.06150564752304723,0.5042460760366277,-0.24555218369663814,-0.21757780011516342,0.04490314934019809
ONEOFF_PURCHASES_FREQUENCY,0.07079569469313923,0.20284524280301214,0.608350738393543,0.6838189713547664,0.2482395091614091,-0.10495421648073879,0.5013431351216463,1.0,0.14232918277399043,-0.1135753844969963,-0.08133904499617314,0.6012889387095026,0.2960994473159034,0.2783133688096057,-0.016425978951589797,0.1575307940075899,0.08246626284696856,0.6065079299443884,-0.10532040281850931,-0.09970137723545355,0.10649359890635375
PURCHASES_INSTALLMENTS_FREQUENCY,-0.07201011038169941,0.17947181806673346,0.4008433752887963,0.1588920294540325,0.6344997378499939,-0.2073945806680797,0.8629336372699634,0.14232918277399043,1.0,-0.26590671783958986,-0.20016903968160024,0.5936739189380225,0.06023690339788962,0.09783031406122833,0.032329738698244195,0.2500874524615634,0.0732754497979993,0.3962849927248469,-0.20606014424322658,-0.1745084215558144,0.028672925710174747
CASH_ADVANCE_FREQUENCY,0.46363690414915015,0.19389350345039028,-0.14941938477425795,-0.10304603648443394,-0.16239686584595925,0.6834004761840231,-0.31249250111242954,-0.1135753844969963,-0.26590671783958986,1.0,0.8810921993172829,-0.15130747540170342,0.13474052183125113,0.21554404775743816,0.2035854674690858,-0.2532924782511838,-0.12913617505766595,-0.1430877499284678,0.6702320028981077,0.39100303057271435,-0.05478706146579978
CASH_ADVANCE_TRX,0.44576636999951613,0.16281793076557088,-0.0994972929949186,-0.06759278443085528,-0.11138702901125559,0.7103089178788706,-0.23839464918595987,-0.08133904499617314,-0.20016903968160024,0.8810921993172829,1.0,-0.09670929747723442,0.16061163072831966,0.2745885573416757,0.235553199349644,-0.20105571939513503,-0.05182130722808567,-0.0960947310510684,0.6770502655557403,0.3251355098954022,-0.04345038047873917
PURCHASES_TRX,0.13331905965863272,0.21260960088910658,0.780817457302739,0.6307347561662217,0.6875377887627392,-0.11261318408082174,0.6422343952045695,0.6012889387095026,0.5936739189380225,-0.15130747540170342,-0.09670929747723442,1.0,0.28039678431519216,0.3873654973854148,0.12311943193365522,0.17955850349586058,0.13533116677888188,0.7684556985997595,-0.11856578326224616,-0.06435349345219044,0.10765678935083792
CREDIT_LIMIT,0.5289411136320527,0.09832103728608052,0.3674516069646602,0.3426476566138019,0.2399485562694068,0.3143813247961535,0.11960293068962392,0.2960994473159034,0.06023690339788962,0.13474052183125113,0.16061163072831966,0.28039678431519216,1.0,0.4390158638386521,0.2075411610299229,0.05316390302817575,0.14220919324584994,0.35949435487034914,0.28888778617935756,-0.14638042248359817,0.0937712673798587
PAYMENTS,0.3447438498458463,0.09249095691862844,0.5362703267587133,0.4824180428427142,0.36988576421486286,0.4255171153759468,0.12089748158533907,0.2783133688096057,0.09783031406122833,0.21554404775743816,0.2745885573416757,0.3873654973854148,0.4390158638386521,1.0,0.22555549300539296,0.11684248783130995,0.12677843474716438,0.5249416089153495,0.38124182098146553,0.025843462276726396,0.32681379287145945
MINIMUM_PAYMENTS,0.5876683467418435,0.2082787003542697,0.13145542762477588,0.06424784159928096,0.14856125181417718,0.2571434163487314,0.0010425753808529059,-0.016425978951589797,0.032329738698244195,0.2035854674690858,0.235553199349644,0.12311943193365522,0.2075411610299229,0.22555549300539296,1.0,-0.21250787163758242,0.08791409918421118,0.12870519650011297,0.23354718832001423,0.4899763892276154,-0.13136926579631036
PRC_FULL_PAYMENT,-0.3316181149324615,-0.09803960647806721,0.20288661156922036,0.1459806023697476,0.21504830066641334,-0.17906778087971495,0.30580235388719407,0.1575307940075899,0.2500874524615634,-0.2532924782511838,-0.20105571939513503,0.17955850349586058,0.05316390302817575,0.11684248783130995,-0.21250787163758242,1.0,-0.016485723701718764,0.20348316800118557,-0.17373421011711015,-0.4628250476950953,0.20145134819152002
